# Generated by tools/mirror-roundtrip/exposure.py --write; do not edit.
# provider buses from fullRv64imSoundEnsemble: 10,102,103,107,133,5000
# wirable: 141
air	class	total	exposed-to-build	exposed-to-root	tied-not-composed	declared-residual
Arith	air-value	1	1	1	0	0
Arith	challenge	15	14	15	0	0
Arith	pure-base-field	49	0	49	0	0
Binary	air-value	1	1	1	0	0
Binary	challenge	6	1	6	5	0
Binary	pure-base-field	7	0	7	0	0
BinaryAdd	air-value	1	1	1	0	0
BinaryAdd	challenge	4	3	4	0	0
BinaryAdd	pure-base-field	4	0	4	0	0
BinaryExtension	air-value	1	1	1	0	0
BinaryExtension	challenge	7	1	7	5	0
Main	air-value	10	1	10	0	0
Main	challenge	104	96	104	1	0
Main	pure-base-field	30	0	30	0	0
Mem	air-value	16	0	16	0	0
Mem	challenge	9	0	5	0	0
Mem	pure-base-field	9	0	9	0	0
MemAlign	air-value	1	1	1	0	0
MemAlign	challenge	6	4	5	0	0
MemAlign	pure-base-field	33	0	33	0	0
MemAlignByte	air-value	1	1	1	0	0
MemAlignByte	challenge	6	4	6	0	0
MemAlignByte	pure-base-field	9	0	9	0	0
MemAlignReadByte	air-value	1	1	1	0	0
MemAlignReadByte	challenge	5	3	5	0	0
MemAlignReadByte	pure-base-field	4	0	4	0	0
MemAlignWriteByte	air-value	1	1	1	0	0
MemAlignWriteByte	challenge	7	7	7	0	0
MemAlignWriteByte	pure-base-field	7	0	7	0	0

constraint	class	exposed-to-build	exposed-to-root	tied-not-composed	declared-residual	link	buses
Arith.0	pure-base-field	0	1	0	0	-	-
Arith.1	pure-base-field	0	1	0	0	-	-
Arith.2	pure-base-field	0	1	0	0	-	-
Arith.3	pure-base-field	0	1	0	0	-	-
Arith.4	pure-base-field	0	1	0	0	-	-
Arith.5	pure-base-field	0	1	0	0	-	-
Arith.6	pure-base-field	0	1	0	0	-	-
Arith.7	pure-base-field	0	1	0	0	-	-
Arith.8	pure-base-field	0	1	0	0	-	-
Arith.9	pure-base-field	0	1	0	0	-	-
Arith.10	pure-base-field	0	1	0	0	-	-
Arith.11	pure-base-field	0	1	0	0	-	-
Arith.12	pure-base-field	0	1	0	0	-	-
Arith.13	pure-base-field	0	1	0	0	-	-
Arith.14	pure-base-field	0	1	0	0	-	-
Arith.15	pure-base-field	0	1	0	0	-	-
Arith.16	pure-base-field	0	1	0	0	-	-
Arith.17	pure-base-field	0	1	0	0	-	-
Arith.18	pure-base-field	0	1	0	0	-	-
Arith.19	pure-base-field	0	1	0	0	-	-
Arith.20	pure-base-field	0	1	0	0	-	-
Arith.21	pure-base-field	0	1	0	0	-	-
Arith.22	pure-base-field	0	1	0	0	-	-
Arith.23	pure-base-field	0	1	0	0	-	-
Arith.24	pure-base-field	0	1	0	0	-	-
Arith.25	pure-base-field	0	1	0	0	-	-
Arith.26	pure-base-field	0	1	0	0	-	-
Arith.27	pure-base-field	0	1	0	0	-	-
Arith.28	pure-base-field	0	1	0	0	-	-
Arith.29	pure-base-field	0	1	0	0	-	-
Arith.30	pure-base-field	0	1	0	0	-	-
Arith.31	pure-base-field	0	1	0	0	-	-
Arith.32	pure-base-field	0	1	0	0	-	-
Arith.33	pure-base-field	0	1	0	0	-	-
Arith.34	pure-base-field	0	1	0	0	-	-
Arith.35	pure-base-field	0	1	0	0	-	-
Arith.36	pure-base-field	0	1	0	0	-	-
Arith.37	pure-base-field	0	1	0	0	-	-
Arith.38	pure-base-field	0	1	0	0	-	-
Arith.39	pure-base-field	0	1	0	0	-	-
Arith.40	pure-base-field	0	1	0	0	-	-
Arith.41	pure-base-field	0	1	0	0	-	-
Arith.42	pure-base-field	0	1	0	0	-	-
Arith.43	pure-base-field	0	1	0	0	-	-
Arith.44	pure-base-field	0	1	0	0	-	-
Arith.45	pure-base-field	0	1	0	0	-	-
Arith.46	pure-base-field	0	1	0	0	-	-
Arith.47	pure-base-field	0	1	0	0	-	-
Arith.48	pure-base-field	0	1	0	0	-	-
Arith.49	challenge	1	1	0	0	link_Arith_49	330
Arith.50	challenge	1	1	0	0	link_Arith_50	330
Arith.51	challenge	1	1	0	0	link_Arith_51	330
Arith.52	challenge	1	1	0	0	link_Arith_52	330,331
Arith.53	challenge	1	1	0	0	link_Arith_53	330
Arith.54	challenge	1	1	0	0	link_Arith_54	330
Arith.55	challenge	1	1	0	0	link_Arith_55	330
Arith.56	challenge	1	1	0	0	link_Arith_56	330
Arith.57	challenge	1	1	0	0	link_Arith_57	330
Arith.58	challenge	1	1	0	0	link_Arith_58	330
Arith.59	challenge	1	1	0	0	link_Arith_59	330
Arith.60	challenge	1	1	0	0	link_Arith_60	330
Arith.61	challenge	0	1	0	0	link_Arith_61	5000
Arith.62	challenge	1	1	0	0	-	-
Arith.63	challenge	1	1	0	0	link_Arith_63	330
Arith.64	air-value	1	1	0	0	link_Arith_64	-
Binary.0	pure-base-field	0	1	0	0	-	-
Binary.1	pure-base-field	0	1	0	0	-	-
Binary.2	pure-base-field	0	1	0	0	-	-
Binary.3	pure-base-field	0	1	0	0	-	-
Binary.4	pure-base-field	0	1	0	0	-	-
Binary.5	pure-base-field	0	1	0	0	-	-
Binary.6	pure-base-field	0	1	0	0	-	-
Binary.7	challenge	0	1	1	0	link_Binary_7	125
Binary.8	challenge	0	1	1	0	link_Binary_8	125
Binary.9	challenge	0	1	1	0	link_Binary_9	125
Binary.10	challenge	0	1	1	0	link_Binary_10	125,5000
Binary.11	challenge	0	1	1	0	link_Binary_11	125
Binary.12	challenge	1	1	0	0	link_Binary_12	5000
Binary.13	air-value	1	1	0	0	link_Binary_13	-
BinaryAdd.0	pure-base-field	0	1	0	0	-	-
BinaryAdd.1	pure-base-field	0	1	0	0	-	-
BinaryAdd.2	pure-base-field	0	1	0	0	-	-
